epoch_start,epoch_end,user,class,fd_dominant_freq_x,fd_dominant_freq_y,fd_dominant_freq_z,fd_dominant_freq_m,fd_step_counter_x,fd_step_counter_y,fd_step_counter_z,fd_step_counter_m,fd_spectral_entropy_x,fd_spectral_entropy_y,fd_spectral_entropy_z,fd_spectral_entropy_m
1461149108655.0,1461149118652.0,034,stairs,2.0006001800540165,1.700510153045914,1.5004501350405122,1.700510153045914,0,0,0,13,0.9082802326223014,0.9588180895355758,0.836515757130742,0.9588520775832068
1461149113661.0,1461149123656.0,034,stairs,3.501750875437719,1.7008504252126064,1.7008504252126064,1.7008504252126064,0,0,0,13,0.9165883616339467,0.9614355484187926,0.8592446052754578,0.962591344005871
1461149118673.0,1461149128666.0,034,stairs,3.402381667167017,1.7011908335835084,1.7011908335835084,1.7011908335835084,0,0,0,13,0.931041961517537,0.9690893941145527,0.8755107269610792,0.9708306925171137
1461149123676.0,1461149133678.0,034,stairs,2.2995400919816036,1.5996800639872024,1.5996800639872024,1.5996800639872024,0,0,0,12,0.944229008274093,0.9724266159659389,0.9065653167755191,0.9748049331914521
1461149128687.0,1461149138680.0,034,stairs,3.102171520064045,1.5010507355148603,1.6011207845491844,1.5010507355148603,0,0,0,13,0.9374618268377486,0.9692434888562859,0.8836070031375128,0.9715353327798975
1461149133699.0,1461149143692.0,034,stairs,1.7011908335835084,1.8012608826178325,1.5010507355148603,1.8012608826178325,0,0,0,16,0.9274238963140182,0.9691502978258019,0.8681824373827784,0.9689861020247407
1461149138701.0,1461149148694.0,034,stairs,1.7011908335835084,1.7011908335835084,0.8005603922745922,1.7011908335835084,0,0,0,13,0.9187001422972216,0.9717946010889785,0.8759019155647493,0.9713965831833876
1461149143713.0,1461149153706.0,034,stairs,3.3023116181326926,1.7011908335835084,0.8005603922745922,1.6011207845491844,0,0,0,11,0.9239532208648348,0.9650594718788659,0.8621277952427642,0.966541743876528
1461149148715.0,1461149158718.0,034,stairs,2.599220233929821,1.4995501349595122,1.099670098970309,1.4995501349595122,0,0,0,14,0.9252515458090709,0.9601659976072758,0.8773944237685741,0.9617789708563113
1461149153727.0,1461149163720.0,034,stairs,2.4016811768237765,1.7011908335835084,0.8005603922745922,1.7011908335835084,0,0,0,14,0.945933468835828,0.9685524042395715,0.9000894425981492,0.970770731263946
1461149158738.0,1461149168722.0,034,stairs,2.403846153846154,1.6025641025641026,0.8012820512820513,1.6025641025641026,0,0,0,15,0.9056618700854464,0.9661929885653144,0.8823377410642116,0.9664059823369502
1461149163740.0,1461149173734.0,034,stairs,3.201921152691615,1.8010806483890334,0.8004802881729037,1.8010806483890334,0,0,0,17,0.8929065957678011,0.9556935069377007,0.873560509988555,0.957185428255554
1461149168743.0,1461149178736.0,034,stairs,1.8012608826178325,1.8012608826178325,1.8012608826178325,1.8012608826178325,0,0,0,16,0.8890848161703362,0.9513046478138121,0.8460545027295495,0.9518926655799019
1461149173755.0,1461149183748.0,034,stairs,1.9013309316521565,1.9013309316521565,1.9013309316521565,1.9013309316521565,0,0,0,14,0.8721930729736846,0.9532715974155057,0.8646529840767655,0.9520300219277265
1461149178757.0,1461149188750.0,034,stairs,0.10007004903432402,1.9013309316521565,1.9013309316521565,1.9013309316521565,0,0,0,14,0.8823173833908926,0.9504678893648276,0.8614380449634466,0.9530075706981793
1461149183769.0,1461149194473.0,034,stairs,1.8684603886397608,1.8684603886397608,1.8684603886397608,1.8684603886397608,0,0,0,17,0.9001425345209865,0.9490606132919592,0.8406507180603856,0.9522780338887862
1461149009165.0,1461149019159.0,034,stairs,1.4008405043025818,1.6009605763458075,0.7004202521512909,1.6009605763458075,0,0,0,12,0.9683135891747504,0.9872119419119225,0.9064700750794766,0.9902643188968171
1461149014167.0,1461149024161.0,034,stairs,0.10006003602161297,0.10006003602161297,0.7004202521512909,1.4008405043025818,0,0,0,11,0.9512297917761796,0.9762531594065081,0.917198594507002,0.9884660696037985
1461149019170.0,1461149029164.0,034,stairs,0.10006003602161297,0.20012007204322593,0.6003602161296778,1.5009005403241946,0,0,0,10,0.9456629958909645,0.9733881349533531,0.899041627836273,0.987052994068573
1461149024172.0,1461149034165.0,034,stairs,0.8005603922745922,0.8005603922745922,0.10007004903432402,1.0007004903432402,0,0,0,10,0.9421862943346725,0.9837348791540543,0.878389540428975,0.9867312106353263
1461149029174.0,1461149039166.0,034,stairs,0.7005604483586869,0.7005604483586869,0.8006405124099278,1.6012810248198557,0,0,0,11,0.9442686409019604,0.9839476727913288,0.8904005812753936,0.9872266353008381
1461149034175.0,1461149044168.0,034,stairs,0.10007004903432402,0.7004903432402683,0.7004903432402683,1.3009106374462123,0,0,0,12,0.9578775055873271,0.9779322373746778,0.9142683674022564,0.9871402970937503
1461149039177.0,1461149049170.0,034,stairs,0.10007004903432402,1.5010507355148606,0.7004903432402683,1.5010507355148606,0,0,0,14,0.962878917927958,0.9772527138171019,0.9096980429970491,0.9860645557152492
